example_id                                                              | status | run_time        |
./spec/lib/faultline/notifiers/discord_spec.rb[1:3:5:1]                 | passed | 0.0018 seconds  |
./spec/lib/faultline/notifiers/discord_spec.rb[1:3:5:2]                 | passed | 0.00179 seconds |
./spec/lib/faultline/notifiers/discord_spec.rb[1:3:5:3]                 | passed | 0.00171 seconds |
./spec/lib/faultline/notifiers/discord_spec.rb[1:3:5:4]                 | passed | 0.00163 seconds |
./spec/lib/faultline/notifiers/discord_spec.rb[1:3:5:5]                 | passed | 0.0018 seconds  |
./spec/lib/faultline/notifiers/discord_spec.rb[1:3:5:6]                 | passed | 0.00161 seconds |
./spec/lib/faultline/notifiers/discord_spec.rb[1:3:5:7]                 | passed | 0.00161 seconds |
./spec/lib/faultline/notifiers/discord_spec.rb[1:3:5:8]                 | passed | 0.00195 seconds |
./spec/lib/faultline/notifiers/discord_spec.rb[1:3:5:9]                 | passed | 0.00163 seconds |
./spec/lib/faultline/notifiers/discord_spec.rb[1:3:5:10]                | passed | 0.0018 seconds  |
./spec/lib/faultline/notifiers/discord_spec.rb[1:3:5:11]                | passed | 0.00174 seconds |
./spec/lib/faultline/notifiers/discord_spec.rb[1:3:6:1]                 | passed | 0.00167 seconds |
./spec/lib/faultline/notifiers/discord_spec.rb[1:3:7:1]                 | passed | 0.00206 seconds |
./spec/lib/faultline/notifiers/discord_spec.rb[1:3:8:1]                 | passed | 0.00171 seconds |
./spec/lib/faultline/notifiers/discord_spec.rb[1:3:9:1]                 | passed | 0.00188 seconds |
./spec/lib/faultline/notifiers/email_spec.rb[1:1:1]                     | passed | 0.00022 seconds |
./spec/lib/faultline/notifiers/email_spec.rb[1:1:2]                     | passed | 0.00022 seconds |
./spec/lib/faultline/notifiers/email_spec.rb[1:1:3]                     | passed | 0.00029 seconds |
./spec/lib/faultline/notifiers/email_spec.rb[1:1:4]                     | passed | 0.00022 seconds |
./spec/lib/faultline/notifiers/email_spec.rb[1:2:1]                     | passed | 0.0056 seconds  |
